user_id,input_text,input_tokens,output_text,output_tokens,start_time,ack_time,first_token_time,end_time,response_time,tt_ack,ttft,tpot,error_code,error_text,max_queries,max_input_tokens,max_output_tokens,load_options_concurrency,load_options_duration,plugin,plugin_options_streaming,plugin_options_model_name,extra_metadata_replicas
0,...,101,  Certainl...,95,1707859910.7502685,1707859910.934395,1707859910.9872804,1707859914.9199493,4169.680833816528,184.126615524292,237.01190948486328,41.83690345033686,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,107,  Sure! Ba...,216,1707859914.9202259,1707859915.0984275,1707859915.1418393,1707859924.3262377,9406.011819839478,178.20167541503906,221.61340713500977,42.7181321521138,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,54,"  ""An Even...",454,1707859924.3264675,1707859924.49399,1707859924.5375776,1707859944.0504036,19723.936080932617,167.52243041992188,211.11011505126953,43.07467100636059,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,145,"  Sure, I'...",170,1707859944.0508265,1707859944.2578657,1707859944.3010783,1707859951.5050752,7454.248666763306,207.03911781311035,250.25177001953125,42.627200572448366,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,59,"  Sure, I ...",39,1707859951.5053473,1707859951.6526937,1707859951.6948347,1707859953.2398598,1734.5125675201416,147.34649658203125,189.48745727539062,40.6585555327566,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,132,"  Sure, I'...",173,1707859953.2401006,1707859953.4425373,1707859953.4867887,1707859960.82377,7583.669424057007,202.4366855621338,246.6881275177002,42.65686800313551,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,132,"  Ooh, let...",110,1707859960.8240237,1707859961.0188217,1707859961.061687,1707859965.6708272,4846.803426742554,194.79799270629883,237.66326904296875,42.28568952017968,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,112,"  Sure, I'...",643,1707859965.6710577,1707859965.848457,1707859965.8922937,1707859994.167713,28496.655225753784,177.3993968963623,221.235990524292,44.04270908914251,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,71,  The ques...,17,1707859994.1679592,1707859994.3408697,1707859994.38304,1707859995.011367,843.4078693389893,172.9104518890381,215.08073806762695,39.270445704460144,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,214,  Based on...,670,1707859995.0115962,1707859995.2128236,1707859995.2567413,1707860025.1544688,30142.87257194519,201.22742652893066,245.14508247375488,44.69017561953877,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,...,145,  Based on...,454,1707860025.1548972,1707860025.360312,1707860025.4039123,1707860045.4775877,20322.69048690796,205.4147720336914,249.01509284973145,44.31274921425657,,,1000,2048,1024,1,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,59,"  Sure, I ...",39,1707860916.9071681,1707860917.074426,1707860917.11725,1707860919.2409654,2333.7972164154053,167.25778579711914,210.0818157196045,55.8872473867316,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,151,"  No, the ...",341,1707860919.2414503,1707860919.4576166,1707860919.513292,1707860937.611855,18370.404720306396,216.16625785827637,271.84176445007324,53.23106751722448,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,68,"  Sure, I'...",472,1707860937.6123183,1707860937.8063476,1707860937.865125,1707860962.8187802,25206.461906433105,194.0293312072754,252.8066635131836,52.98015975142234,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,54,  Ooh ooh!...,296,1707860962.8192456,1707860963.010542,1707860963.071304,1707860978.9744256,16155.179977416992,191.29633903503418,252.0585060119629,53.90888634374586,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,248,  Sure! He...,54,1707860978.9748805,1707860979.1662333,1707860979.2268167,1707860982.1301272,3155.2467346191406,191.35284423828125,251.9361972808838,54.779444100721825,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,67,  Oh my go...,19,1707860982.1303737,1707860982.3091886,1707860982.3662903,1707860983.2557018,1125.3280639648438,178.81488800048828,235.9166145324707,49.41174719068739,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,113,"  Sure, I'...",44,1707860983.255929,1707860983.462613,1707860983.5233488,1707860985.9125404,2656.611442565918,206.68411254882812,267.41981506347656,55.56259598842887,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
0,<s>[INST] ...,74,"  Ooh, let...",317,1707860985.9127784,1707860986.1026833,1707860986.1570246,1707861001.809916,15897.137641906738,189.90492820739746,244.246244430542,49.534466447709484,,,1000,2048,1024,16,120,hf_tgi_plugin,True,Llama-2-13b-chat-hf,1
